step,method,q,seed,ablation,approx_kl,mean_kl_window
0,TEL-PPO,25.0,50,baseline,0.0159,
4096,TEL-PPO,25.0,50,baseline,0.0137,
8192,TEL-PPO,25.0,50,baseline,0.0166,
12288,TEL-PPO,25.0,50,baseline,0.0166,
16384,TEL-PPO,25.0,50,baseline,0.0082,
20480,TEL-PPO,25.0,50,baseline,0.0123,
24576,TEL-PPO,25.0,50,baseline,0.012,
28672,TEL-PPO,25.0,50,baseline,0.0142,
32768,TEL-PPO,25.0,50,baseline,0.0071,
36864,TEL-PPO,25.0,50,baseline,0.0011,
40960,TEL-PPO,25.0,50,baseline,0.0005,
45056,TEL-PPO,25.0,50,baseline,0.0002,
49152,TEL-PPO,25.0,50,baseline,0.0002,
53248,TEL-PPO,25.0,50,baseline,0.0011,
57344,TEL-PPO,25.0,50,baseline,0.0003,
61440,TEL-PPO,25.0,50,baseline,0.0001,
65536,TEL-PPO,25.0,50,baseline,0.0002,
69632,TEL-PPO,25.0,50,baseline,0.0007,
73728,TEL-PPO,25.0,50,baseline,0.0003,
77824,TEL-PPO,25.0,50,baseline,0.0003,
81920,TEL-PPO,25.0,50,baseline,0.0,
86016,TEL-PPO,25.0,50,baseline,0.0019,
90112,TEL-PPO,25.0,50,baseline,0.0,
94208,TEL-PPO,25.0,50,baseline,0.0019,
98304,TEL-PPO,25.0,50,baseline,0.0052,
102400,TEL-PPO,25.0,50,baseline,0.0006,
106496,TEL-PPO,25.0,50,baseline,0.0017,
110592,TEL-PPO,25.0,50,baseline,0.0027,
114688,TEL-PPO,25.0,50,baseline,0.0019,
118784,TEL-PPO,25.0,50,baseline,0.0011,
122880,TEL-PPO,25.0,50,baseline,0.002,
126976,TEL-PPO,25.0,50,baseline,0.0074,
131072,TEL-PPO,25.0,50,baseline,0.0049,
135168,TEL-PPO,25.0,50,baseline,0.0012,
139264,TEL-PPO,25.0,50,baseline,0.0121,
143360,TEL-PPO,25.0,50,baseline,0.0203,
147456,TEL-PPO,25.0,50,baseline,0.0065,
151552,TEL-PPO,25.0,50,baseline,0.0058,
155648,TEL-PPO,25.0,50,baseline,0.0033,
159744,TEL-PPO,25.0,50,baseline,0.0106,
163840,TEL-PPO,25.0,50,baseline,0.0049,
167936,TEL-PPO,25.0,50,baseline,0.0067,
172032,TEL-PPO,25.0,50,baseline,0.0094,
176128,TEL-PPO,25.0,50,baseline,0.013,
180224,TEL-PPO,25.0,50,baseline,0.0002,
184320,TEL-PPO,25.0,50,baseline,0.0043,
188416,TEL-PPO,25.0,50,baseline,0.0013,
192512,TEL-PPO,25.0,50,baseline,0.0,
196608,TEL-PPO,25.0,50,baseline,0.0048,
200704,TEL-PPO,25.0,50,baseline,0.0036,
204800,TEL-PPO,25.0,50,baseline,0.0,
208896,TEL-PPO,25.0,50,baseline,0.0219,
212992,TEL-PPO,25.0,50,baseline,0.0078,
217088,TEL-PPO,25.0,50,baseline,0.0074,
221184,TEL-PPO,25.0,50,baseline,0.0091,
225280,TEL-PPO,25.0,50,baseline,0.006,
229376,TEL-PPO,25.0,50,baseline,0.0046,
233472,TEL-PPO,25.0,50,baseline,0.0,
237568,TEL-PPO,25.0,50,baseline,0.0165,
241664,TEL-PPO,25.0,50,baseline,0.0048,
245760,TEL-PPO,25.0,50,baseline,0.0219,
249856,TEL-PPO,25.0,50,baseline,0.0111,
253952,TEL-PPO,25.0,50,baseline,0.0,
258048,TEL-PPO,25.0,50,baseline,0.0068,
262144,TEL-PPO,25.0,50,baseline,0.0,
266240,TEL-PPO,25.0,50,baseline,0.0129,
270336,TEL-PPO,25.0,50,baseline,0.0156,
274432,TEL-PPO,25.0,50,baseline,0.0118,
278528,TEL-PPO,25.0,50,baseline,0.0,
282624,TEL-PPO,25.0,50,baseline,0.0,
286720,TEL-PPO,25.0,50,baseline,0.0059,
290816,TEL-PPO,25.0,50,baseline,0.0025,
294912,TEL-PPO,25.0,50,baseline,0.0297,
299008,TEL-PPO,25.0,50,baseline,0.0235,
303104,TEL-PPO,25.0,50,baseline,0.0001,
307200,TEL-PPO,25.0,50,baseline,0.0003,
311296,TEL-PPO,25.0,50,baseline,0.0157,
315392,TEL-PPO,25.0,50,baseline,0.018,
319488,TEL-PPO,25.0,50,baseline,0.0062,
323584,TEL-PPO,25.0,50,baseline,0.0,
327680,TEL-PPO,25.0,50,baseline,0.0,
331776,TEL-PPO,25.0,50,baseline,0.0,
335872,TEL-PPO,25.0,50,baseline,0.0,
339968,TEL-PPO,25.0,50,baseline,0.0036,
344064,TEL-PPO,25.0,50,baseline,0.0119,
348160,TEL-PPO,25.0,50,baseline,0.0116,
352256,TEL-PPO,25.0,50,baseline,0.003,
356352,TEL-PPO,25.0,50,baseline,0.0,
360448,TEL-PPO,25.0,50,baseline,0.0,
364544,TEL-PPO,25.0,50,baseline,0.0072,
368640,TEL-PPO,25.0,50,baseline,0.0218,
372736,TEL-PPO,25.0,50,baseline,0.0126,
376832,TEL-PPO,25.0,50,baseline,0.0,
380928,TEL-PPO,25.0,50,baseline,0.0141,
385024,TEL-PPO,25.0,50,baseline,0.0,
389120,TEL-PPO,25.0,50,baseline,0.0147,
393216,TEL-PPO,25.0,50,baseline,0.0127,
397312,TEL-PPO,25.0,50,baseline,0.0283,
401408,TEL-PPO,25.0,50,baseline,0.0266,
405504,TEL-PPO,25.0,50,baseline,0.0,
409600,TEL-PPO,25.0,50,baseline,0.0293,
413696,TEL-PPO,25.0,50,baseline,0.0168,
417792,TEL-PPO,25.0,50,baseline,0.007,
421888,TEL-PPO,25.0,50,baseline,0.0181,
425984,TEL-PPO,25.0,50,baseline,0.007,
430080,TEL-PPO,25.0,50,baseline,0.0183,
434176,TEL-PPO,25.0,50,baseline,0.0183,
438272,TEL-PPO,25.0,50,baseline,0.0081,
442368,TEL-PPO,25.0,50,baseline,0.0151,
446464,TEL-PPO,25.0,50,baseline,0.0241,
450560,TEL-PPO,25.0,50,baseline,0.013,
454656,TEL-PPO,25.0,50,baseline,0.0099,
458752,TEL-PPO,25.0,50,baseline,0.0157,
462848,TEL-PPO,25.0,50,baseline,0.0,
466944,TEL-PPO,25.0,50,baseline,0.0133,
471040,TEL-PPO,25.0,50,baseline,0.0137,
475136,TEL-PPO,25.0,50,baseline,0.0247,
479232,TEL-PPO,25.0,50,baseline,0.0099,
483328,TEL-PPO,25.0,50,baseline,0.0054,
487424,TEL-PPO,25.0,50,baseline,0.021,
491520,TEL-PPO,25.0,50,baseline,0.0197,
495616,TEL-PPO,25.0,50,baseline,0.0,
499712,TEL-PPO,25.0,50,baseline,0.0156,
503808,TEL-PPO,25.0,50,baseline,0.015,
507904,TEL-PPO,25.0,50,baseline,0.0368,
512000,TEL-PPO,25.0,50,baseline,0.0043,
516096,TEL-PPO,25.0,50,baseline,0.0229,
520192,TEL-PPO,25.0,50,baseline,0.0087,
524288,TEL-PPO,25.0,50,baseline,0.0065,
528384,TEL-PPO,25.0,50,baseline,0.0047,
532480,TEL-PPO,25.0,50,baseline,0.0055,
536576,TEL-PPO,25.0,50,baseline,0.0019,
540672,TEL-PPO,25.0,50,baseline,0.0292,
544768,TEL-PPO,25.0,50,baseline,0.0144,
548864,TEL-PPO,25.0,50,baseline,0.0264,
552960,TEL-PPO,25.0,50,baseline,0.0033,
557056,TEL-PPO,25.0,50,baseline,0.0161,
561152,TEL-PPO,25.0,50,baseline,0.0319,
565248,TEL-PPO,25.0,50,baseline,0.0215,
569344,TEL-PPO,25.0,50,baseline,0.0,
0,TEL-PPO,25.0,123,baseline,0.014891862869262695,
4096,TEL-PPO,25.0,123,baseline,0.011163343985875448,
8192,TEL-PPO,25.0,123,baseline,0.02362403699329921,
12288,TEL-PPO,25.0,123,baseline,0.01712127242769514,
16384,TEL-PPO,25.0,123,baseline,0.013413701738630022,
20480,TEL-PPO,25.0,123,baseline,0.005993803342183431,
24576,TEL-PPO,25.0,123,baseline,0.011153485093797957,
28672,TEL-PPO,25.0,123,baseline,0.010316841304302216,
32768,TEL-PPO,25.0,123,baseline,0.007466860115528107,
36864,TEL-PPO,25.0,123,baseline,0.004525542259216309,
40960,TEL-PPO,25.0,123,baseline,0.004363536834716797,
45056,TEL-PPO,25.0,123,baseline,0.002017877995967865,
49152,TEL-PPO,25.0,123,baseline,0.0014236196875572205,
53248,TEL-PPO,25.0,123,baseline,0.002089373767375946,
57344,TEL-PPO,25.0,123,baseline,0.0009216442704200745,
61440,TEL-PPO,25.0,123,baseline,0.0005961805582046509,
65536,TEL-PPO,25.0,123,baseline,0.00030247122049331665,
69632,TEL-PPO,25.0,123,baseline,9.995698928833008e-05,
73728,TEL-PPO,25.0,123,baseline,0.00038474053144454956,
77824,TEL-PPO,25.0,123,baseline,0.00023669004440307617,
81920,TEL-PPO,25.0,123,baseline,0.0014965683221817017,
86016,TEL-PPO,25.0,123,baseline,0.002921193838119507,
90112,TEL-PPO,25.0,123,baseline,0.00040775537490844727,
