experiment,method,q,seed,ablation,effort_mean,theoretical_effort,agent1_effort,agent2_effort,relative_error,theoretical_effort1,theoretical_effort2
different_ability,TEL-PPO,25.0,42,baseline,70.59678435325623,78.75,70.59678435325623,70.59678435325623,0.10353289710150824,78.75,78.75
different_ability,TEL-PPO,25.0,123,baseline,69.69466805458069,78.75,69.69466805458069,69.69466805458069,0.11498834216405475,78.75,78.75
different_ability,TEL-PPO,25.0,456,baseline,70.92325091362,78.75,70.92325091362,70.92325091362,0.09938728998577784,78.75,78.75
different_ability,TEL-PPO,40.0,42,baseline,48.366180062294006,51.26953125,48.366180062294006,48.366180062294006,0.0566291736421131,51.26953125,51.26953125
different_ability,TEL-PPO,40.0,123,baseline,45.9965705871582,51.26953125,45.9965705871582,45.9965705871582,0.10284784226190476,51.26953125,51.26953125
different_ability,TEL-PPO,40.0,456,baseline,47.13343381881714,51.26953125,47.13343381881714,47.13343381881714,0.08067359561011905,51.26953125,51.26953125
different_ability,TEL-PPO,55.0,42,baseline,35.6198787689209,37.964876033057855,35.6198787689209,35.6198787689209,0.06176754698461426,37.964876033057855,37.964876033057855
different_ability,TEL-PPO,55.0,123,baseline,35.23368537425995,37.964876033057855,35.23368537425995,35.23368537425995,0.07193993354330268,37.964876033057855,37.964876033057855
different_ability,TEL-PPO,55.0,456,baseline,35.75783371925354,37.964876033057855,35.75783371925354,35.75783371925354,0.05813379482347148,37.964876033057855,37.964876033057855
different_cost,TEL-PPO,25.0,42,baseline,47.5150004029274,51.15384615384615,56.77698850631714,38.25301229953766,0.07113533046908843,59.230769230769226,43.07692307692308
different_cost,TEL-PPO,25.0,123,baseline,49.26168620586395,51.15384615384615,57.58052468299866,40.94284772872925,0.036989592968073096,59.230769230769226,43.07692307692308
different_cost,TEL-PPO,25.0,456,baseline,49.02258664369583,51.15384615384615,57.68216848373413,40.36300480365753,0.04166371974729953,59.230769230769226,43.07692307692308
different_cost,TEL-PPO,40.0,42,baseline,37.501147389411926,39.808440586650704,43.79994571208954,31.202349066734314,0.057959899037404186,46.093983837174505,33.52289733612691
different_cost,TEL-PPO,40.0,123,baseline,38.27395737171173,39.808440586650704,44.88203227519989,31.665882468223572,0.038546679857978265,46.093983837174505,33.52289733612691
different_cost,TEL-PPO,40.0,456,baseline,38.6787012219429,39.808440586650704,44.70016062259674,32.65724182128906,0.028379392612697504,46.093983837174505,33.52289733612691
different_cost,TEL-PPO,55.0,42,baseline,29.12209779024124,31.266028380919813,34.01840627193451,24.225789308547974,0.06857060847507296,36.202769704222945,26.329287057616686
different_cost,TEL-PPO,55.0,123,baseline,28.725821524858475,31.266028380919813,33.27013552188873,24.181507527828217,0.08124494819468364,36.202769704222945,26.329287057616686
different_cost,TEL-PPO,55.0,456,baseline,28.823018819093704,31.266028380919813,34.12790298461914,23.518134653568268,0.07813622926655318,36.202769704222945,26.329287057616686
three_players,TEL-PPO,25.0,42,baseline,63.64130973815918,87.5,63.64130973815918,63.64130973815918,0.2726707458496094,,
three_players,TEL-PPO,25.0,123,baseline,64.398193359375,87.5,64.398193359375,64.398193359375,0.26402064732142855,,
three_players,TEL-PPO,25.0,456,baseline,65.25349020957947,87.5,65.25349020957947,65.25349020957947,0.25424582617623465,,
three_players,TEL-PPO,40.0,42,baseline,54.5737087726593,54.6875,54.5737087726593,54.5737087726593,0.002080753871372768,,
three_players,TEL-PPO,40.0,123,baseline,45.604947209358215,54.6875,45.604947209358215,45.604947209358215,0.16608096531459263,,
three_players,TEL-PPO,40.0,456,baseline,46.9758003950119,54.6875,46.9758003950119,46.9758003950119,0.14101393563406808,,
three_players,TEL-PPO,55.0,42,baseline,37.08256483078003,39.772727272727266,37.08256483078003,37.08256483078003,0.06763836996895911,,
three_players,TEL-PPO,55.0,123,baseline,35.262009501457214,39.772727272727266,35.262009501457214,35.262009501457214,0.1134123325347899,,
three_players,TEL-PPO,55.0,456,baseline,37.17964291572571,39.772727272727266,37.17964291572571,37.17964291572571,0.06519754954746776,,
two_players,TEL-PPO,25.0,42,baseline,75.84168886300176,100.0,75.84547375701372,75.83790396898979,0.24158311136998237,,
two_players,TEL-PPO,25.0,50,baseline,87.845,87.5,87.84,87.85,0.00394285714285713,,
two_players,TEL-PPO,25.0,123,baseline,79.23113135714091,100.0,79.23481004685172,79.2274526674301,0.2076886864285909,,
two_players,TEL-PPO,25.0,456,baseline,91.17897621728487,100.0,91.17559788376082,91.18235455080892,0.0882102378271513,,
two_players,TEL-PPO,40.0,42,baseline,68.11909328307952,62.5,68.12335259094814,68.1148339752109,0.08990549252927235,,
two_players,TEL-PPO,40.0,123,baseline,63.23777836188677,62.5,63.23591033928104,63.239646384492495,0.011804453790188291,,
two_players,TEL-PPO,40.0,456,baseline,70.55900023598227,62.5,70.55104570277038,70.56695476919415,0.12894400377571627,,
two_players,TEL-PPO,55.0,42,baseline,58.119471115060094,45.45454545454545,58.12225850857779,58.11668372154241,0.2786283645313221,,
two_players,TEL-PPO,55.0,50,baseline,39.805,39.77272727272727,39.81,39.8,0.000811428571428548,,
two_players,TEL-PPO,55.0,68,baseline,40.63155218027532,39.772727272727266,40.633215515874255,40.62988884467639,0.02159331196120824,,
two_players,TEL-PPO,55.0,123,baseline,65.05835337797186,45.45454545454545,65.0644186250865,65.05228813085722,0.43128377431538084,,
two_players,TEL-PPO,55.0,456,baseline,64.06737673794852,45.45454545454545,64.07072396669533,64.06402950920172,0.4094822882348675,,
