step,method,q,seed,ablation,alpha_mean,beta_mean
0,TEL-PPO,25.0,50,baseline,85.93,79.16
4096,TEL-PPO,25.0,50,baseline,83.52,81.73
8192,TEL-PPO,25.0,50,baseline,81.09,84.27
12288,TEL-PPO,25.0,50,baseline,78.67,86.79
16384,TEL-PPO,25.0,50,baseline,76.76,88.76
20480,TEL-PPO,25.0,50,baseline,74.52,91.06
24576,TEL-PPO,25.0,50,baseline,72.62,93.04
28672,TEL-PPO,25.0,50,baseline,70.92,94.96
32768,TEL-PPO,25.0,50,baseline,70.06,96.27
36864,TEL-PPO,25.0,50,baseline,69.82,97.15
40960,TEL-PPO,25.0,50,baseline,69.75,97.72
45056,TEL-PPO,25.0,50,baseline,70.3,97.8
49152,TEL-PPO,25.0,50,baseline,71.11,97.76
53248,TEL-PPO,25.0,50,baseline,72.06,97.67
57344,TEL-PPO,25.0,50,baseline,72.7,97.82
61440,TEL-PPO,25.0,50,baseline,73.1,98.1
65536,TEL-PPO,25.0,50,baseline,73.88,98.19
69632,TEL-PPO,25.0,50,baseline,74.81,98.03
73728,TEL-PPO,25.0,50,baseline,75.36,98.46
77824,TEL-PPO,25.0,50,baseline,75.78,99.25
81920,TEL-PPO,25.0,50,baseline,150.36,196.37
86016,TEL-PPO,25.0,50,baseline,229.66,297.47
90112,TEL-PPO,25.0,50,baseline,312.97,403.61
94208,TEL-PPO,25.0,50,baseline,398.79,517.32
98304,TEL-PPO,25.0,50,baseline,487.86,633.55
102400,TEL-PPO,25.0,50,baseline,577.9,756.34
106496,TEL-PPO,25.0,50,baseline,673.34,878.56
110592,TEL-PPO,25.0,50,baseline,773.41,1006.84
114688,TEL-PPO,25.0,50,baseline,870.4,1137.16
118784,TEL-PPO,25.0,50,baseline,974.63,1268.6
122880,TEL-PPO,25.0,50,baseline,1078.41,1399.9
126976,TEL-PPO,25.0,50,baseline,1182.77,1535.83
131072,TEL-PPO,25.0,50,baseline,1288.22,1672.71
135168,TEL-PPO,25.0,50,baseline,1390.85,1807.12
139264,TEL-PPO,25.0,50,baseline,1498.7,1933.35
143360,TEL-PPO,25.0,50,baseline,1600.52,2066.25
147456,TEL-PPO,25.0,50,baseline,1713.88,2191.93
151552,TEL-PPO,25.0,50,baseline,1817.5,2327.87
155648,TEL-PPO,25.0,50,baseline,1914.66,2469.14
159744,TEL-PPO,25.0,50,baseline,2024.77,2596.66
163840,TEL-PPO,25.0,50,baseline,2130.22,2746.61
167936,TEL-PPO,25.0,50,baseline,2243.95,2886.9
172032,TEL-PPO,25.0,50,baseline,2357.15,3042.31
176128,TEL-PPO,25.0,50,baseline,2464.09,3197.81
180224,TEL-PPO,25.0,50,baseline,2573.35,3349.74
184320,TEL-PPO,25.0,50,baseline,2680.77,3502.42
188416,TEL-PPO,25.0,50,baseline,2816.41,3670.15
192512,TEL-PPO,25.0,50,baseline,2958.35,3843.97
196608,TEL-PPO,25.0,50,baseline,3102.16,4026.83
200704,TEL-PPO,25.0,50,baseline,3244.01,4193.83
204800,TEL-PPO,25.0,50,baseline,3384.96,4383.6
208896,TEL-PPO,25.0,50,baseline,3499.11,4559.83
212992,TEL-PPO,25.0,50,baseline,3636.55,4754.69
217088,TEL-PPO,25.0,50,baseline,3771.08,4902.5
221184,TEL-PPO,25.0,50,baseline,3920.83,5064.54
225280,TEL-PPO,25.0,50,baseline,4060.17,5258.65
229376,TEL-PPO,25.0,50,baseline,4197.59,5438.93
233472,TEL-PPO,25.0,50,baseline,4350.65,5631.21
237568,TEL-PPO,25.0,50,baseline,4496.5,5811.0
241664,TEL-PPO,25.0,50,baseline,4631.83,5984.35
245760,TEL-PPO,25.0,50,baseline,4740.47,6153.21
249856,TEL-PPO,25.0,50,baseline,4876.24,6297.61
253952,TEL-PPO,25.0,50,baseline,5017.18,6469.01
258048,TEL-PPO,25.0,50,baseline,5161.29,6646.35
262144,TEL-PPO,25.0,50,baseline,5299.19,6824.69
266240,TEL-PPO,25.0,50,baseline,5439.25,6995.88
270336,TEL-PPO,25.0,50,baseline,5570.27,7160.32
274432,TEL-PPO,25.0,50,baseline,5702.05,7328.05
278528,TEL-PPO,25.0,50,baseline,5866.11,7520.98
282624,TEL-PPO,25.0,50,baseline,6007.28,7696.54
286720,TEL-PPO,25.0,50,baseline,6003.54,7730.06
290816,TEL-PPO,25.0,50,baseline,6026.19,7746.05
294912,TEL-PPO,25.0,50,baseline,6051.46,7735.19
299008,TEL-PPO,25.0,50,baseline,6075.43,7737.5
303104,TEL-PPO,25.0,50,baseline,6086.18,7752.04
307200,TEL-PPO,25.0,50,baseline,6104.61,7776.32
311296,TEL-PPO,25.0,50,baseline,6114.18,7805.56
315392,TEL-PPO,25.0,50,baseline,6133.78,7822.72
