step,method,q,seed,ablation,effort_mean,theoretical_effort,effort_error
0,TEL-PPO,25.0,50,baseline,106.965,87.5,19.465000000000003
4096,TEL-PPO,25.0,50,baseline,104.06,87.5,16.560000000000002
8192,TEL-PPO,25.0,50,baseline,100.985,87.5,13.485
12288,TEL-PPO,25.0,50,baseline,98.03,87.5,10.530000000000001
16384,TEL-PPO,25.0,50,baseline,95.005,87.5,7.5049999999999955
20480,TEL-PPO,25.0,50,baseline,92.73,87.5,5.230000000000004
24576,TEL-PPO,25.0,50,baseline,90.04499999999999,87.5,2.5449999999999875
28672,TEL-PPO,25.0,50,baseline,87.645,87.5,0.14499999999999602
32768,TEL-PPO,25.0,50,baseline,85.63,87.5,1.8700000000000045
36864,TEL-PPO,25.0,50,baseline,84.33500000000001,87.5,3.164999999999992
40960,TEL-PPO,25.0,50,baseline,83.6,87.5,3.9000000000000057
45056,TEL-PPO,25.0,50,baseline,83.31,87.5,4.189999999999998
49152,TEL-PPO,25.0,50,baseline,83.67,87.5,3.8299999999999983
53248,TEL-PPO,25.0,50,baseline,84.24000000000001,87.5,3.259999999999991
57344,TEL-PPO,25.0,50,baseline,84.975,87.5,2.5250000000000057
61440,TEL-PPO,25.0,50,baseline,85.27,87.5,2.230000000000004
65536,TEL-PPO,25.0,50,baseline,85.425,87.5,2.075000000000003
69632,TEL-PPO,25.0,50,baseline,85.905,87.5,1.5949999999999989
73728,TEL-PPO,25.0,50,baseline,86.55000000000001,87.5,0.9499999999999886
77824,TEL-PPO,25.0,50,baseline,86.79499999999999,87.5,0.7050000000000125
81920,TEL-PPO,25.0,50,baseline,86.63,87.5,0.8700000000000045
86016,TEL-PPO,25.0,50,baseline,86.72999999999999,87.5,0.7700000000000102
90112,TEL-PPO,25.0,50,baseline,87.13,87.5,0.37000000000000455
94208,TEL-PPO,25.0,50,baseline,87.32,87.5,0.18000000000000682
98304,TEL-PPO,25.0,50,baseline,87.04499999999999,87.5,0.4550000000000125
102400,TEL-PPO,25.0,50,baseline,87.02,87.5,0.480000000000004
106496,TEL-PPO,25.0,50,baseline,86.60499999999999,87.5,0.8950000000000102
110592,TEL-PPO,25.0,50,baseline,86.82499999999999,87.5,0.6750000000000114
114688,TEL-PPO,25.0,50,baseline,86.915,87.5,0.5849999999999937
118784,TEL-PPO,25.0,50,baseline,86.755,87.5,0.7450000000000045
122880,TEL-PPO,25.0,50,baseline,86.945,87.5,0.5550000000000068
126976,TEL-PPO,25.0,50,baseline,87.03999999999999,87.5,0.46000000000000796
131072,TEL-PPO,25.0,50,baseline,87.055,87.5,0.4449999999999932
135168,TEL-PPO,25.0,50,baseline,87.0,87.5,0.5
139264,TEL-PPO,25.0,50,baseline,87.015,87.5,0.48499999999999943
143360,TEL-PPO,25.0,50,baseline,87.315,87.5,0.18500000000000227
147456,TEL-PPO,25.0,50,baseline,87.28999999999999,87.5,0.21000000000000796
151552,TEL-PPO,25.0,50,baseline,87.78999999999999,87.5,0.28999999999999204
155648,TEL-PPO,25.0,50,baseline,87.685,87.5,0.18500000000000227
159744,TEL-PPO,25.0,50,baseline,87.36,87.5,0.14000000000000057
163840,TEL-PPO,25.0,50,baseline,87.615,87.5,0.11499999999999488
167936,TEL-PPO,25.0,50,baseline,87.375,87.5,0.125
172032,TEL-PPO,25.0,50,baseline,87.5,87.5,0.0
176128,TEL-PPO,25.0,50,baseline,87.33,87.5,0.1700000000000017
180224,TEL-PPO,25.0,50,baseline,87.035,87.5,0.4650000000000034
184320,TEL-PPO,25.0,50,baseline,86.87,87.5,0.6299999999999955
188416,TEL-PPO,25.0,50,baseline,86.72,87.5,0.7800000000000011
192512,TEL-PPO,25.0,50,baseline,86.81,87.5,0.6899999999999977
196608,TEL-PPO,25.0,50,baseline,86.995,87.5,0.5049999999999955
200704,TEL-PPO,25.0,50,baseline,87.045,87.5,0.4549999999999983
204800,TEL-PPO,25.0,50,baseline,87.22,87.5,0.28000000000000114
208896,TEL-PPO,25.0,50,baseline,87.155,87.5,0.34499999999999886
212992,TEL-PPO,25.0,50,baseline,86.835,87.5,0.6650000000000063
217088,TEL-PPO,25.0,50,baseline,86.67,87.5,0.8299999999999983
221184,TEL-PPO,25.0,50,baseline,86.94999999999999,87.5,0.5500000000000114
225280,TEL-PPO,25.0,50,baseline,87.28,87.5,0.21999999999999886
229376,TEL-PPO,25.0,50,baseline,87.155,87.5,0.34499999999999886
233472,TEL-PPO,25.0,50,baseline,87.14,87.5,0.35999999999999943
237568,TEL-PPO,25.0,50,baseline,87.17500000000001,87.5,0.32499999999998863
241664,TEL-PPO,25.0,50,baseline,87.255,87.5,0.24500000000000455
245760,TEL-PPO,25.0,50,baseline,87.25999999999999,87.5,0.2400000000000091
249856,TEL-PPO,25.0,50,baseline,87.035,87.5,0.4650000000000034
253952,TEL-PPO,25.0,50,baseline,87.28,87.5,0.21999999999999886
258048,TEL-PPO,25.0,50,baseline,87.35,87.5,0.15000000000000568
262144,TEL-PPO,25.0,50,baseline,87.42500000000001,87.5,0.07499999999998863
266240,TEL-PPO,25.0,50,baseline,87.41499999999999,87.5,0.08500000000000796
270336,TEL-PPO,25.0,50,baseline,87.475,87.5,0.025000000000005684
274432,TEL-PPO,25.0,50,baseline,87.515,87.5,0.015000000000000568
278528,TEL-PPO,25.0,50,baseline,87.51,87.5,0.010000000000005116
282624,TEL-PPO,25.0,50,baseline,87.655,87.5,0.15500000000000114
286720,TEL-PPO,25.0,50,baseline,87.695,87.5,0.19499999999999318
290816,TEL-PPO,25.0,50,baseline,87.42,87.5,0.0799999999999983
294912,TEL-PPO,25.0,50,baseline,87.495,87.5,0.0049999999999954525
299008,TEL-PPO,25.0,50,baseline,87.775,87.5,0.2750000000000057
303104,TEL-PPO,25.0,50,baseline,87.985,87.5,0.48499999999999943
307200,TEL-PPO,25.0,50,baseline,87.965,87.5,0.4650000000000034
311296,TEL-PPO,25.0,50,baseline,87.94999999999999,87.5,0.44999999999998863
315392,TEL-PPO,25.0,50,baseline,87.84,87.5,0.3400000000000034
319488,TEL-PPO,25.0,50,baseline,87.91,87.5,0.4099999999999966
323584,TEL-PPO,25.0,50,baseline,87.695,87.5,0.19499999999999318
327680,TEL-PPO,25.0,50,baseline,87.735,87.5,0.23499999999999943
331776,TEL-PPO,25.0,50,baseline,87.83500000000001,87.5,0.33500000000000796
335872,TEL-PPO,25.0,50,baseline,87.785,87.5,0.2849999999999966
339968,TEL-PPO,25.0,50,baseline,87.78,87.5,0.28000000000000114
344064,TEL-PPO,25.0,50,baseline,87.505,87.5,0.0049999999999954525
348160,TEL-PPO,25.0,50,baseline,87.58500000000001,87.5,0.08500000000000796
352256,TEL-PPO,25.0,50,baseline,87.65,87.5,0.15000000000000568
356352,TEL-PPO,25.0,50,baseline,87.655,87.5,0.15500000000000114
360448,TEL-PPO,25.0,50,baseline,87.64,87.5,0.14000000000000057
364544,TEL-PPO,25.0,50,baseline,87.61,87.5,0.10999999999999943
368640,TEL-PPO,25.0,50,baseline,87.535,87.5,0.03499999999999659
372736,TEL-PPO,25.0,50,baseline,87.215,87.5,0.2849999999999966
