step,method,q,seed,ablation,effort_mean,agent1_effort,agent2_effort,theoretical_effort
0,Gradient,35.0,42,baseline,50.0,30.0,70.0,45.45454545454545
1,Gradient,35.0,42,baseline,49.832142857142856,29.9421428571429,69.72214285714281,45.45454545454545
2,Gradient,35.0,42,baseline,49.66599464285704,29.885389642857135,69.44659964285694,45.45454545454545
3,Gradient,35.0,42,baseline,49.50154163660688,29.829729964107045,69.17335330910672,45.45454545454545
4,Gradient,35.0,42,baseline,49.33877021708769,29.775153508786687,68.9023869253887,45.45454545454545
5,Gradient,35.0,42,baseline,49.17766686154867,29.721650045143505,68.63368367795384,45.45454545454545
6,Gradient,35.0,42,baseline,49.0182181451216,29.66920942120657,68.36722686903663,45.45454545454545
7,Gradient,35.0,42,baseline,48.86041074015249,29.617821564218918,68.10299991608606,45.45454545454545
8,Gradient,35.0,42,baseline,48.704231415539304,29.56747648007334,67.84098635100527,45.45454545454545
9,Gradient,35.0,42,baseline,48.549667036072,29.518164252751163,67.58116981939284,45.45454545454545
10,Gradient,35.0,42,baseline,48.39670456177849,29.469875043765917,67.32353407979106,45.45454545454545
11,Gradient,35.0,42,baseline,48.24533104727428,29.42259909161089,67.06806300293766,45.45454545454545
12,Gradient,35.0,42,baseline,48.09553364111673,29.37632671120945,66.814740571024,45.45454545454545
13,Gradient,35.0,42,baseline,47.947299585162526,29.331048293369825,66.56355087695523,45.45454545454545
14,Gradient,35.0,42,baseline,47.800616213931406,29.286754304243413,66.3144781236194,45.45454545454545
15,Gradient,35.0,42,baseline,47.65547095397135,29.243435284786553,66.06750662315615,45.45454545454545
16,Gradient,35.0,42,baseline,47.511851323230246,29.201081850226068,65.82262079623443,45.45454545454545
17,Gradient,35.0,42,baseline,47.369744930431054,29.159684689528454,65.57980517133365,45.45454545454545
18,Gradient,35.0,42,baseline,47.22913947445018,29.11923456487254,65.33904438402782,45.45454545454545
19,Gradient,35.0,42,baseline,47.0900227437009,29.07972231112589,65.10032317627591,45.45454545454545
20,Gradient,35.0,42,baseline,46.95238261552083,29.041138835324908,64.86362639571676,45.45454545454545
21,Gradient,35.0,42,baseline,46.81620705556258,29.003475116157777,64.62893899496738,45.45454545454545
22,Gradient,35.0,42,baseline,46.6814841171899,28.966722203451678,64.39624603092813,45.45454545454545
23,Gradient,35.0,42,baseline,46.54820194087566,28.93087121766295,64.16553266408836,45.45454545454545
24,Gradient,35.0,42,baseline,46.4163487536065,28.895913349371405,63.9367841578416,45.45454545454545
25,Gradient,35.0,42,baseline,46.285912868288676,28.86183985877671,63.70998587780065,45.45454545454545
26,Gradient,35.0,42,baseline,46.15688268315944,28.828642075199806,63.48512329111907,45.45454545454545
27,Gradient,35.0,42,baseline,46.029246681202444,28.79631139658651,63.26218196581838,45.45454545454545
28,Gradient,35.0,42,baseline,45.9029934295657,28.764839289015143,63.041147570116244,45.45454545454545
29,Gradient,35.0,42,baseline,45.77811157898488,28.734217286207357,62.8220058717624,45.45454545454545
30,Gradient,35.0,42,baseline,45.654589863209125,28.70443698904187,62.604742737376384,45.45454545454545
31,Gradient,35.0,42,baseline,45.53241709843161,28.67549006507239,62.389344131790835,45.45454545454545
32,Gradient,35.0,42,baseline,45.41158218272329,28.647368248047563,62.17579611739902,45.45454545454545
33,Gradient,35.0,42,baseline,45.292074095470575,28.620063337435585,61.96408485350556,45.45454545454545
34,Gradient,35.0,42,baseline,45.173881896816724,28.5935671979509,61.754196595682544,45.45454545454545
35,Gradient,35.0,42,baseline,45.05699472710667,28.56787175908458,61.54611769512876,45.45454545454545
36,Gradient,35.0,42,baseline,44.94140180633608,28.54296901463803,61.33983459803413,45.45454545454545
37,Gradient,35.0,42,baseline,44.82709243360352,28.518851022259806,61.135333844947226,45.45454545454545
38,Gradient,35.0,42,baseline,44.71405598656636,28.4955099029851,60.93260207014762,45.45454545454545
39,Gradient,35.0,42,baseline,44.60228192090041,28.47293784077886,60.731626001021965,45.45454545454545
40,Gradient,35.0,42,baseline,44.491759769763235,28.451127082082305,60.53239245744417,45.45454545454545
41,Gradient,35.0,42,baseline,44.38247914326043,28.430069935361683,60.33488835115919,45.45454545454545
42,Gradient,35.0,42,baseline,44.27442972791616,28.409758770660883,60.139100685171435,45.45454545454545
43,Gradient,35.0,42,baseline,44.16760128614641,28.390186019156115,59.945016553136696,45.45454545454545
44,Gradient,35.0,42,baseline,44.061983655736995,28.371344172715155,59.752623138758835,45.45454545454545
45,Gradient,35.0,42,baseline,43.95756674932309,28.35322578345791,59.561907715188276,45.45454545454545
46,Gradient,35.0,42,baseline,43.85434055387413,28.33582346332133,59.37285764442693,45.45454545454545
47,Gradient,35.0,42,baseline,43.75229513018098,28.319129883626193,59.18546037673577,45.45454545454545
48,Gradient,35.0,42,baseline,43.651420612346826,28.303137774648015,58.99970345004564,45.45454545454545
49,Gradient,35.0,42,baseline,43.55170720728116,28.28783992518971,58.81557448937261,45.45454545454545
50,Gradient,35.0,42,baseline,43.453145194197475,43.453145194197475,43.453145194197475,45.45454545454545
51,Gradient,35.0,42,baseline,43.4641350384863,43.4641350384863,43.4641350384863,45.45454545454545
52,Gradient,35.0,42,baseline,43.475064438631655,43.475064438631655,43.475064438631655,45.45454545454545
53,Gradient,35.0,42,baseline,43.48593372707617,43.48593372707617,43.48593372707617,45.45454545454545
54,Gradient,35.0,42,baseline,43.49674323443428,43.49674323443428,43.49674323443428,45.45454545454545
55,Gradient,35.0,42,baseline,43.507493289501845,43.507493289501845,43.507493289501845,45.45454545454545
56,Gradient,35.0,42,baseline,43.51818421926665,43.51818421926665,43.51818421926665,45.45454545454545
57,Gradient,35.0,42,baseline,43.528816348917786,43.528816348917786,43.528816348917786,45.45454545454545
58,Gradient,35.0,42,baseline,43.539390001855786,43.539390001855786,43.539390001855786,45.45454545454545
59,Gradient,35.0,42,baseline,43.54990549970271,43.54990549970271,43.54990549970271,45.45454545454545
60,Gradient,35.0,42,baseline,43.560363162311255,43.560363162311255,43.560363162311255,45.45454545454545
61,Gradient,35.0,42,baseline,43.57076330777553,43.57076330777553,43.57076330777553,45.45454545454545
62,Gradient,35.0,42,baseline,43.58110625243982,43.58110625243982,43.58110625243982,45.45454545454545
63,Gradient,35.0,42,baseline,43.591392310908354,43.591392310908354,43.591392310908354,45.45454545454545
64,Gradient,35.0,42,baseline,43.60162179605553,43.60162179605553,43.60162179605553,45.45454545454545
65,Gradient,35.0,42,baseline,43.611795019034226,43.611795019034226,43.611795019034226,45.45454545454545
66,Gradient,35.0,42,baseline,43.62191228928658,43.62191228928658,43.62191228928658,45.45454545454545
67,Gradient,35.0,42,baseline,43.631973914552646,43.631973914552646,43.631973914552646,45.45454545454545
68,Gradient,35.0,42,baseline,43.641980200879615,43.641980200879615,43.641980200879615,45.45454545454545
69,Gradient,35.0,42,baseline,43.6519314526318,43.6519314526318,43.6519314526318,45.45454545454545
70,Gradient,35.0,42,baseline,43.6618279724994,43.6618279724994,43.6618279724994,45.45454545454545
71,Gradient,35.0,42,baseline,43.67167006150763,43.67167006150763,43.67167006150763,45.45454545454545
72,Gradient,35.0,42,baseline,43.68145801902635,43.68145801902635,43.68145801902635,45.45454545454545
73,Gradient,35.0,42,baseline,43.691192142778846,43.691192142778846,43.691192142778846,45.45454545454545
74,Gradient,35.0,42,baseline,43.700872728850605,43.700872728850605,43.700872728850605,45.45454545454545
75,Gradient,35.0,42,baseline,43.71050007169887,43.71050007169887,43.71050007169887,45.45454545454545
76,Gradient,35.0,42,baseline,43.72007446416161,43.72007446416161,43.72007446416161,45.45454545454545
77,Gradient,35.0,42,baseline,43.72959619746565,43.72959619746565,43.72959619746565,45.45454545454545
78,Gradient,35.0,42,baseline,43.739065561236764,43.739065561236764,43.739065561236764,45.45454545454545
79,Gradient,35.0,42,baseline,43.748482843506984,43.748482843506984,43.748482843506984,45.45454545454545
80,Gradient,35.0,42,baseline,43.757848330724734,43.757848330724734,43.757848330724734,45.45454545454545
81,Gradient,35.0,42,baseline,43.76716230776281,43.76716230776281,43.76716230776281,45.45454545454545
82,Gradient,35.0,42,baseline,43.77642505792714,43.77642505792714,43.77642505792714,45.45454545454545
83,Gradient,35.0,42,baseline,43.78563686296547,43.78563686296547,43.78563686296547,45.45454545454545
84,Gradient,35.0,42,baseline,43.79479800307621,43.79479800307621,43.79479800307621,45.45454545454545
85,Gradient,35.0,42,baseline,43.80390875691635,43.80390875691635,43.80390875691635,45.45454545454545
86,Gradient,35.0,42,baseline,43.81296940161043,43.81296940161043,43.81296940161043,45.45454545454545
87,Gradient,35.0,42,baseline,43.82198021275867,43.82198021275867,43.82198021275867,45.45454545454545
88,Gradient,35.0,42,baseline,43.830941464445594,43.830941464445594,43.830941464445594,45.45454545454545
89,Gradient,35.0,42,baseline,43.83985342924828,43.83985342924828,43.83985342924828,45.45454545454545
90,Gradient,35.0,42,baseline,43.84871637824444,43.84871637824444,43.84871637824444,45.45454545454545
91,Gradient,35.0,42,baseline,43.8575305810212,43.8575305810212,43.8575305810212,45.45454545454545
92,Gradient,35.0,42,baseline,43.86629630568267,43.86629630568267,43.86629630568267,45.45454545454545
93,Gradient,35.0,42,baseline,43.87501381885855,43.87501381885855,43.87501381885855,45.45454545454545
