step,method,q,seed,ablation,drift_effort
0,TEL-PPO,35.0,1024,baseline,
4096,TEL-PPO,35.0,1024,baseline,
8192,TEL-PPO,35.0,1024,baseline,
12288,TEL-PPO,35.0,1024,baseline,
16384,TEL-PPO,35.0,1024,baseline,
20480,TEL-PPO,35.0,1024,baseline,
24576,TEL-PPO,35.0,1024,baseline,
28672,TEL-PPO,35.0,1024,baseline,
32768,TEL-PPO,35.0,1024,baseline,
36864,TEL-PPO,35.0,1024,baseline,
40960,TEL-PPO,35.0,1024,baseline,
45056,TEL-PPO,35.0,1024,baseline,
49152,TEL-PPO,35.0,1024,baseline,
53248,TEL-PPO,35.0,1024,baseline,
57344,TEL-PPO,35.0,1024,baseline,
61440,TEL-PPO,35.0,1024,baseline,
65536,TEL-PPO,35.0,1024,baseline,
69632,TEL-PPO,35.0,1024,baseline,
73728,TEL-PPO,35.0,1024,baseline,
77824,TEL-PPO,35.0,1024,baseline,
81920,TEL-PPO,35.0,1024,baseline,
86016,TEL-PPO,35.0,1024,baseline,
90112,TEL-PPO,35.0,1024,baseline,
94208,TEL-PPO,35.0,1024,baseline,
98304,TEL-PPO,35.0,1024,baseline,
102400,TEL-PPO,35.0,1024,baseline,
106496,TEL-PPO,35.0,1024,baseline,
110592,TEL-PPO,35.0,1024,baseline,
114688,TEL-PPO,35.0,1024,baseline,12.833207845687866
118784,TEL-PPO,35.0,1024,baseline,
122880,TEL-PPO,35.0,1024,baseline,
126976,TEL-PPO,35.0,1024,baseline,
131072,TEL-PPO,35.0,1024,baseline,
135168,TEL-PPO,35.0,1024,baseline,
139264,TEL-PPO,35.0,1024,baseline,
143360,TEL-PPO,35.0,1024,baseline,
147456,TEL-PPO,35.0,1024,baseline,
151552,TEL-PPO,35.0,1024,baseline,
155648,TEL-PPO,35.0,1024,baseline,2.5492727756500244
159744,TEL-PPO,35.0,1024,baseline,
163840,TEL-PPO,35.0,1024,baseline,
167936,TEL-PPO,35.0,1024,baseline,
172032,TEL-PPO,35.0,1024,baseline,
176128,TEL-PPO,35.0,1024,baseline,
180224,TEL-PPO,35.0,1024,baseline,
184320,TEL-PPO,35.0,1024,baseline,
188416,TEL-PPO,35.0,1024,baseline,
192512,TEL-PPO,35.0,1024,baseline,
196608,TEL-PPO,35.0,1024,baseline,1.032775640487671
200704,TEL-PPO,35.0,1024,baseline,
204800,TEL-PPO,35.0,1024,baseline,
208896,TEL-PPO,35.0,1024,baseline,
212992,TEL-PPO,35.0,1024,baseline,
217088,TEL-PPO,35.0,1024,baseline,
221184,TEL-PPO,35.0,1024,baseline,
225280,TEL-PPO,35.0,1024,baseline,
229376,TEL-PPO,35.0,1024,baseline,
233472,TEL-PPO,35.0,1024,baseline,
237568,TEL-PPO,35.0,1024,baseline,0.5261838436126709
241664,TEL-PPO,35.0,1024,baseline,
245760,TEL-PPO,35.0,1024,baseline,
249856,TEL-PPO,35.0,1024,baseline,
253952,TEL-PPO,35.0,1024,baseline,
258048,TEL-PPO,35.0,1024,baseline,
262144,TEL-PPO,35.0,1024,baseline,
266240,TEL-PPO,35.0,1024,baseline,
270336,TEL-PPO,35.0,1024,baseline,
274432,TEL-PPO,35.0,1024,baseline,
278528,TEL-PPO,35.0,1024,baseline,0.6862878799438477
282624,TEL-PPO,35.0,1024,baseline,
286720,TEL-PPO,35.0,1024,baseline,
290816,TEL-PPO,35.0,1024,baseline,
294912,TEL-PPO,35.0,1024,baseline,
299008,TEL-PPO,35.0,1024,baseline,
303104,TEL-PPO,35.0,1024,baseline,
307200,TEL-PPO,35.0,1024,baseline,
311296,TEL-PPO,35.0,1024,baseline,
315392,TEL-PPO,35.0,1024,baseline,
319488,TEL-PPO,35.0,1024,baseline,1.2163400650024414
323584,TEL-PPO,35.0,1024,baseline,
327680,TEL-PPO,35.0,1024,baseline,
331776,TEL-PPO,35.0,1024,baseline,
335872,TEL-PPO,35.0,1024,baseline,
339968,TEL-PPO,35.0,1024,baseline,
344064,TEL-PPO,35.0,1024,baseline,
348160,TEL-PPO,35.0,1024,baseline,
352256,TEL-PPO,35.0,1024,baseline,
356352,TEL-PPO,35.0,1024,baseline,
360448,TEL-PPO,35.0,1024,baseline,1.911252737045288
364544,TEL-PPO,35.0,1024,baseline,
368640,TEL-PPO,35.0,1024,baseline,
372736,TEL-PPO,35.0,1024,baseline,
376832,TEL-PPO,35.0,1024,baseline,
380928,TEL-PPO,35.0,1024,baseline,
385024,TEL-PPO,35.0,1024,baseline,
389120,TEL-PPO,35.0,1024,baseline,
393216,TEL-PPO,35.0,1024,baseline,
397312,TEL-PPO,35.0,1024,baseline,
401408,TEL-PPO,35.0,1024,baseline,0.7500588893890381
405504,TEL-PPO,35.0,1024,baseline,
409600,TEL-PPO,35.0,1024,baseline,
413696,TEL-PPO,35.0,1024,baseline,
417792,TEL-PPO,35.0,1024,baseline,
421888,TEL-PPO,35.0,1024,baseline,
425984,TEL-PPO,35.0,1024,baseline,
430080,TEL-PPO,35.0,1024,baseline,
434176,TEL-PPO,35.0,1024,baseline,
438272,TEL-PPO,35.0,1024,baseline,
442368,TEL-PPO,35.0,1024,baseline,0.34377574920654297
446464,TEL-PPO,35.0,1024,baseline,
450560,TEL-PPO,35.0,1024,baseline,
454656,TEL-PPO,35.0,1024,baseline,
458752,TEL-PPO,35.0,1024,baseline,
462848,TEL-PPO,35.0,1024,baseline,
466944,TEL-PPO,35.0,1024,baseline,
471040,TEL-PPO,35.0,1024,baseline,
475136,TEL-PPO,35.0,1024,baseline,
479232,TEL-PPO,35.0,1024,baseline,
483328,TEL-PPO,35.0,1024,baseline,0.6036341190338135
487424,TEL-PPO,35.0,1024,baseline,
491520,TEL-PPO,35.0,1024,baseline,
495616,TEL-PPO,35.0,1024,baseline,
499712,TEL-PPO,35.0,1024,baseline,
503808,TEL-PPO,35.0,1024,baseline,
507904,TEL-PPO,35.0,1024,baseline,
512000,TEL-PPO,35.0,1024,baseline,
516096,TEL-PPO,35.0,1024,baseline,
520192,TEL-PPO,35.0,1024,baseline,
524288,TEL-PPO,35.0,1024,baseline,0.311201810836792
528384,TEL-PPO,35.0,1024,baseline,
532480,TEL-PPO,35.0,1024,baseline,
536576,TEL-PPO,35.0,1024,baseline,
540672,TEL-PPO,35.0,1024,baseline,
544768,TEL-PPO,35.0,1024,baseline,
548864,TEL-PPO,35.0,1024,baseline,
552960,TEL-PPO,35.0,1024,baseline,
557056,TEL-PPO,35.0,1024,baseline,
561152,TEL-PPO,35.0,1024,baseline,
565248,TEL-PPO,35.0,1024,baseline,0.7573902606964111
569344,TEL-PPO,35.0,1024,baseline,
573440,TEL-PPO,35.0,1024,baseline,
577536,TEL-PPO,35.0,1024,baseline,
581632,TEL-PPO,35.0,1024,baseline,
585728,TEL-PPO,35.0,1024,baseline,
589824,TEL-PPO,35.0,1024,baseline,
