step,method,q,seed,ablation,drift_effort
0,TEL-PPO,35.0,42,baseline,
4096,TEL-PPO,35.0,42,baseline,
8192,TEL-PPO,35.0,42,baseline,
12288,TEL-PPO,35.0,42,baseline,
16384,TEL-PPO,35.0,42,baseline,
20480,TEL-PPO,35.0,42,baseline,
24576,TEL-PPO,35.0,42,baseline,
28672,TEL-PPO,35.0,42,baseline,
32768,TEL-PPO,35.0,42,baseline,
36864,TEL-PPO,35.0,42,baseline,
40960,TEL-PPO,35.0,42,baseline,
45056,TEL-PPO,35.0,42,baseline,
49152,TEL-PPO,35.0,42,baseline,
53248,TEL-PPO,35.0,42,baseline,
57344,TEL-PPO,35.0,42,baseline,
61440,TEL-PPO,35.0,42,baseline,
65536,TEL-PPO,35.0,42,baseline,
69632,TEL-PPO,35.0,42,baseline,
73728,TEL-PPO,35.0,42,baseline,
77824,TEL-PPO,35.0,42,baseline,
81920,TEL-PPO,35.0,42,baseline,
86016,TEL-PPO,35.0,42,baseline,
90112,TEL-PPO,35.0,42,baseline,
94208,TEL-PPO,35.0,42,baseline,
98304,TEL-PPO,35.0,42,baseline,
102400,TEL-PPO,35.0,42,baseline,
106496,TEL-PPO,35.0,42,baseline,
110592,TEL-PPO,35.0,42,baseline,
114688,TEL-PPO,35.0,42,baseline,6.226319074630737
118784,TEL-PPO,35.0,42,baseline,
122880,TEL-PPO,35.0,42,baseline,
126976,TEL-PPO,35.0,42,baseline,
131072,TEL-PPO,35.0,42,baseline,
135168,TEL-PPO,35.0,42,baseline,
139264,TEL-PPO,35.0,42,baseline,
143360,TEL-PPO,35.0,42,baseline,
147456,TEL-PPO,35.0,42,baseline,
151552,TEL-PPO,35.0,42,baseline,
155648,TEL-PPO,35.0,42,baseline,4.097312688827515
159744,TEL-PPO,35.0,42,baseline,
163840,TEL-PPO,35.0,42,baseline,
167936,TEL-PPO,35.0,42,baseline,
172032,TEL-PPO,35.0,42,baseline,
176128,TEL-PPO,35.0,42,baseline,
180224,TEL-PPO,35.0,42,baseline,
184320,TEL-PPO,35.0,42,baseline,
188416,TEL-PPO,35.0,42,baseline,
192512,TEL-PPO,35.0,42,baseline,
196608,TEL-PPO,35.0,42,baseline,2.867826819419861
200704,TEL-PPO,35.0,42,baseline,
204800,TEL-PPO,35.0,42,baseline,
208896,TEL-PPO,35.0,42,baseline,
212992,TEL-PPO,35.0,42,baseline,
217088,TEL-PPO,35.0,42,baseline,
221184,TEL-PPO,35.0,42,baseline,
225280,TEL-PPO,35.0,42,baseline,
229376,TEL-PPO,35.0,42,baseline,
233472,TEL-PPO,35.0,42,baseline,
237568,TEL-PPO,35.0,42,baseline,2.473720908164978
241664,TEL-PPO,35.0,42,baseline,
245760,TEL-PPO,35.0,42,baseline,
249856,TEL-PPO,35.0,42,baseline,
253952,TEL-PPO,35.0,42,baseline,
258048,TEL-PPO,35.0,42,baseline,
262144,TEL-PPO,35.0,42,baseline,
266240,TEL-PPO,35.0,42,baseline,
270336,TEL-PPO,35.0,42,baseline,
274432,TEL-PPO,35.0,42,baseline,
278528,TEL-PPO,35.0,42,baseline,0.033214688301086426
0,TEL-PPO,35.0,43,baseline,
4096,TEL-PPO,35.0,43,baseline,
8192,TEL-PPO,35.0,43,baseline,
12288,TEL-PPO,35.0,43,baseline,
16384,TEL-PPO,35.0,43,baseline,
20480,TEL-PPO,35.0,43,baseline,
24576,TEL-PPO,35.0,43,baseline,
28672,TEL-PPO,35.0,43,baseline,
32768,TEL-PPO,35.0,43,baseline,
36864,TEL-PPO,35.0,43,baseline,
40960,TEL-PPO,35.0,43,baseline,
45056,TEL-PPO,35.0,43,baseline,
49152,TEL-PPO,35.0,43,baseline,
53248,TEL-PPO,35.0,43,baseline,
57344,TEL-PPO,35.0,43,baseline,
61440,TEL-PPO,35.0,43,baseline,
65536,TEL-PPO,35.0,43,baseline,
69632,TEL-PPO,35.0,43,baseline,
73728,TEL-PPO,35.0,43,baseline,
