experiment,q,v1_n_runs,v1_abs_err,v1_rel_err_pct,v1_n_converged,v1_mean_conv_step,v2_n_runs,v2_abs_err,v2_rel_err_pct,v2_n_converged,v2_mean_conv_step
different_ability,25.0,3,8.345098892847696,10.596950975044695,0,,5,4.564375877380371,5.796032860165551,0,
different_ability,40.0,4,3.0781273087145546,6.003814026902293,0,,5,1.628003716468811,3.175382486979167,0,
different_ability,55.0,3,2.427743412246393,6.394709178379614,0,,5,0.6903228533169496,1.8183197877845094,0,
different_cost,25.0,3,3.2239681329482672,6.302494094485335,0,,5,2.0244337503726655,3.9575396623826546,0,
different_cost,40.0,4,3.6733436239240724,9.227549659797237,0,,5,0.7609035365062752,1.9114125680206504,0,
different_cost,55.0,3,2.642716672890355,8.452358069575222,0,,5,0.5207027114544346,1.6653944821856397,0,
three_players,25.0,6,7.0097180135750135,8.011106301228587,0,,5,21.73781394958496,24.843215942382812,0,
three_players,40.0,4,4.22737030746992,7.730048562230711,0,,5,4.976542592048645,9.099963596888951,0,
three_players,55.0,4,16.50448639911073,41.49699437490698,0,,5,2.288052222945467,5.75281701769146,0,
two_players,25.0,7,9.493013245912838,10.849157995328957,0,,5,13.136594200970999,15.013250515395427,0,
two_players,40.0,7,7.053669698385085,12.898138877047014,0,,5,9.026048095658448,16.50477366063259,0,
two_players,55.0,8,9.369037328660994,23.55643671206193,0,,5,15.34490478276885,38.58147488239026,0,
