q,k,l1,l2,w_h,w_l,seed,theoretical_effort,final_effort,gap,p1_win,method,episodes,converged
40.0,0.0004,10.0,5.0,6.5,3.0,42,51.26953125,36.862727999687195,14.406803250312805,0.560546875,ppo,20000,False
40.0,0.0004,10.0,5.0,6.5,3.0,42,51.26953125,44.80203688144684,6.467494368553162,0.560546875,ppo,200000,False
25.0,0.0004,10.0,5.0,6.5,3.0,42,78.75,62.94785141944885,15.802148580551147,0.595,ppo,2048000,False
25.0,0.0004,10.0,5.0,6.5,3.0,42,78.75,70.59678435325623,8.153215646743774,0.595,ppo,2048000,False
25.0,0.0004,10.0,5.0,6.5,3.0,42,78.75,73.01682233810425,5.733177661895752,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,42,78.75,71.44155502319336,7.308444976806641,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,42,78.75,71.82912826538086,6.920871734619141,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,123,78.75,61.403435468673706,17.346564531326294,0.595,ppo,2048000,False
25.0,0.0004,10.0,5.0,6.5,3.0,42,78.75,71.9116747379303,6.838325262069702,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,42,78.75,71.71268463134766,7.037315368652344,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,42,78.75,71.18828296661377,7.5617170333862305,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,123,78.75,69.69466805458069,9.055331945419312,0.595,ppo,2048000,False
25.0,0.0004,10.0,5.0,6.5,3.0,123,78.75,70.37594318389893,8.374056816101074,0.595,ppo,2048000,False
25.0,0.0004,10.0,5.0,6.5,3.0,123,78.75,72.09709286689758,6.652907133102417,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,123,78.75,71.98121547698975,6.768784523010254,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,456,78.75,59.32577848434448,19.424221515655518,0.595,ppo,2048000,False
25.0,0.0004,10.0,5.0,6.5,3.0,123,78.75,71.53184413909912,7.218155860900879,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,123,78.75,72.42262959480286,6.3273704051971436,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,123,78.75,73.10865521430969,5.641344785690308,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,456,78.75,70.92325091362,7.826749086380005,0.595,ppo,2048000,True
40.0,0.0004,10.0,5.0,6.5,3.0,42,51.26953125,43.01552772521973,8.254003524780273,0.560546875,ppo,2048000,False
40.0,0.0004,10.0,5.0,6.5,3.0,42,51.26953125,44.84073221683502,6.428799033164978,0.560546875,ppo,2048000,False
40.0,0.0004,10.0,5.0,6.5,3.0,42,51.26953125,46.23242914676666,5.037102103233337,0.560546875,ppo,2048000,True
40.0,0.0004,10.0,5.0,6.5,3.0,42,51.26953125,46.8982458114624,4.371285438537598,0.560546875,ppo,2048000,True
40.0,0.0004,10.0,5.0,6.5,3.0,42,51.26953125,48.85932207107544,2.4102091789245605,0.560546875,ppo,2048000,True
40.0,0.0004,10.0,5.0,6.5,3.0,42,51.26953125,47.021484375,4.248046875,0.560546875,ppo,2048000,True
40.0,0.0004,10.0,5.0,6.5,3.0,123,51.26953125,44.234707951545715,7.034823298454285,0.560546875,ppo,2048000,False
40.0,0.0004,10.0,5.0,6.5,3.0,123,51.26953125,44.30414438247681,6.965386867523193,0.560546875,ppo,2048000,False
40.0,0.0004,10.0,5.0,6.5,3.0,123,51.26953125,45.9965705871582,5.272960662841797,0.560546875,ppo,2048000,False
40.0,0.0004,10.0,5.0,6.5,3.0,123,51.26953125,46.12750709056854,5.1420241594314575,0.560546875,ppo,2048000,False
40.0,0.0004,10.0,5.0,6.5,3.0,123,51.26953125,48.031750321388245,3.2377809286117554,0.560546875,ppo,2048000,True
40.0,0.0004,10.0,5.0,6.5,3.0,456,51.26953125,43.8199520111084,7.449579238891602,0.560546875,ppo,2048000,False
